CFC,Longitude,Latitude,X_EPSG2691,Y_EPSG2691,Ellipsoid_H_m,Easting_RMS,Northing_RMS,Elevation_RMS,Lateral_RMS,Solution,Samples,Plane_Elev_m,Relief_m
1,-110.2717199,38.87474258,563174.579,4303128.409,1354.317,0.005,0.006,0.012,0.007,FIX,194,1312.302612,42.0143877
2,-110.2716908,38.8764224,563175.617,4303314.839,1353.036,0.038,0.01,0.02,0.039,FIX,305,1307.408691,45.6273086
3,-110.2718128,38.87662949,563164.851,4303337.736,1353.658,0.013,0.009,0.013,0.016,FIX,238,1306.829712,46.8282881
4,-110.2719902,38.87677223,563149.336,4303353.453,1350.398,0.008,0.008,0.012,0.011,FIX,265,1306.444214,43.9537861
5,-110.2720712,38.87685686,563142.235,4303362.788,1348.452,0.024,0.013,0.017,0.027,FIX,221,1306.223999,42.228001
6,-110.2709463,38.87648327,563240.143,4303322.109,1355.618,0.006,0.011,0.013,0.012,FIX,191,1307.045288,48.5727119
7,-110.2710523,38.87663217,563230.817,4303338.559,1353.435,0.006,0.006,0.013,0.008,FIX,193,1306.648071,46.7869287
8,-110.2700375,38.87666688,563318.813,4303343.114,1349.116,0.008,0.009,0.017,0.013,FIX,222,1306.309326,42.8066738
9,-110.2689902,38.87715373,563409.227,4303397.867,1347.553,0.007,0.016,0.016,0.018,FIX,240,1304.674927,42.8780732
10,-110.2687125,38.87684861,563433.587,4303364.201,1346.494,0.084,0.133,0.089,0.157,FIX,234,1305.486328,41.0076719
