Point,lat,lon,planeType,Common_ter,Dip,Dip_Azimuth
1,38.87115839,-110.2722079,trough,Paleocurrent,10.89,352.51
2,38.87096622,-110.2723051,trough,Paleocurrent,18.64,317.48
3,38.87068071,-110.2725842,trough,Paleocurrent,27.41,9.4
4,38.87058565,-110.2724533,trough,Paleocurrent,23.51,5.02
5,38.87045198,-110.272552,trough,Paleocurrent,26.56,324.03
6,38.87045114,-110.2725659,trough,Paleocurrent,11.22,2.98
7,38.87041187,-110.2725953,trough,Paleocurrent,22.19,357.85
8,38.87038992,-110.2725447,trough,Paleocurrent,23.75,337.07
9,38.8701448,-110.2725834,trough,Paleocurrent,22.26,348.05
10,38.87006634,-110.2726735,trough,Paleocurrent,25.88,351.14
11,38.87001192,-110.2726312,trough,Paleocurrent,23.71,326.19
12,38.86999184,-110.2725563,trough,Paleocurrent,15.96,47.67
13,38.87013426,-110.2726331,trough,Paleocurrent,22.49,18.65
14,38.86960274,-110.2723421,trough,Paleocurrent,13.81,23.01
15,38.8697246,-110.272221,trough,Paleocurrent,21.86,356.92
16,38.86974235,-110.2721493,trough,Paleocurrent,16.08,19.31
17,38.86979303,-110.2721514,trough,Paleocurrent,18,13.14
18,38.86984002,-110.2720351,trough,Paleocurrent,22.63,26.26
19,38.86998774,-110.271633,trough,Paleocurrent,12.89,69.26
20,38.86996233,-110.2717059,trough,Paleocurrent,19.47,70.95
21,38.87012374,-110.2714473,trough,Paleocurrent,30.84,33.82
22,38.87026016,-110.271359,trough,Paleocurrent,31.34,47.6
23,38.87031741,-110.2712893,trough,Paleocurrent,22.93,69.68
24,38.87029764,-110.2713334,trough,Paleocurrent,18.77,46.06
25,38.8702403,-110.271381,trough,Paleocurrent,19.89,29.58
26,38.87065768,-110.2708517,trough,Paleocurrent,14.64,55.75
27,38.87064148,-110.2708664,trough,Paleocurrent,17.38,32.4
28,38.87065424,-110.2709851,AS,AccretionSurface,20.73,107.78
29,38.8704008,-110.2711127,trough,Paleocurrent,26.14,29.34
30,38.87038658,-110.2711529,trough,Paleocurrent,36.79,45.94
31,38.87035698,-110.2711819,trough,Paleocurrent,28.78,44.44
32,38.87035207,-110.2712406,trough,Paleocurrent,26.03,54.02
33,38.87033587,-110.2712738,trough,Paleocurrent,23.92,42.48
34,38.87031093,-110.2712406,trough,Paleocurrent,24.03,48.46
35,38.8702814,-110.2713067,trough,Paleocurrent,13.49,27.23
36,38.87026367,-110.2713505,trough,Paleocurrent,20.87,63.21
37,38.87024881,-110.2713594,trough,Paleocurrent,23.76,29.23
38,38.87029406,-110.271394,trough,Paleocurrent,7.25,16.44
39,38.87041246,-110.2714874,trough,Paleocurrent,6.53,45.16
40,38.87053403,-110.2714915,trough,Paleocurrent,18.49,27.66
41,38.87058086,-110.2714583,trough,Paleocurrent,11.22,67.4
42,38.87043294,-110.2714994,trough,Paleocurrent,13.37,349.04
43,38.87041171,-110.2714739,trough,Paleocurrent,11.03,74.21
44,38.87052742,-110.2716883,AS,AccretionSurface,7.04,323.48
45,38.87052491,-110.2716916,trough,Paleocurrent,26.54,24.16
46,38.87057651,-110.2716808,trough,Paleocurrent,22.55,354.74
47,38.87063176,-110.2716271,trough,Paleocurrent,27.43,38.83
